# From roughly 16:30 26 Jan 2014 to 08:30 27 Jan 2014
# Sensor 1 is onboard-temperature
# Sensor 2 is external thermistor temperature in water
# Sensor 3 is garbage
# 
# time         sensor    value
2259           2         286.1800
2265           1         -2.8300
2265           3         303.7930
2265           2         286.1700
2271           1         -3.2390
2271           3         303.7980
2271           2         286.1670
2277           1         -2.6520
2277           3         303.7900
2277           2         286.1620
2283           1         -3.1150
2283           3         303.7970
2283           2         286.1730
2289           1         -2.9010
2289           3         303.7900
2289           2         286.1730
2295           1         -3.3820
2295           3         303.7870
2295           2         286.1800
2301           1         -3.1680
2301           3         303.7790
2301           2         286.1620
2307           1         -3.0440
2307           3         303.7720
2307           2         286.1650
2313           1         -3.1150
2313           3         303.7790
2313           2         286.1600
2319           1         -3.3820
2319           3         303.7900
2319           2         286.1640
2325           1         -3.3820
2325           3         303.7900
2325           2         286.1570
2331           1         -3.0790
2331           3         303.7820
2331           2         286.1570
2337           1         -3.4530
2337           3         303.7610
2337           2         286.1500
2343           1         -3.5060
2343           3         303.7760
2343           2         286.1530
2349           1         -3.7200
2349           3         303.7690
2349           2         286.1570
2355           1         -3.5420
2355           3         303.7580
2355           2         286.1520
2361           1         -3.3280
2361           3         303.7650
2361           2         286.1570
2367           1         -4.0050
2367           3         303.7660
2367           2         286.1580
2373           1         -3.9330
2373           3         303.7680
2373           2         286.1570
2379           1         -3.7200
2379           3         303.7500
2379           2         286.1410
2385           1         -3.5420
2385           3         303.7570
2385           2         286.1460
2391           1         -4.4320
2391           3         303.7570
2391           2         286.1530
2397           1         -4.4850
2397           3         303.7630
2397           2         286.1410
2403           1         -4.3070
2403           3         303.7510
2403           2         286.1410
2409           1         -4.1830
2409           3         303.7570
2409           2         286.1360
2415           1         -4.1470
2415           3         303.7400
2415           2         286.1200
2421           1         -4.1470
2421           3         303.7400
2421           2         286.1290
2427           1         -4.3960
2427           3         303.7480
2427           2         286.1360
2433           1         -4.4850
2433           3         303.7400
2433           2         286.1410
2439           1         -4.6450
2439           3         303.7520
2439           2         286.1360
2445           1         -4.4320
2445           3         303.7520
2445           2         286.1300
2451           1         -4.3960
2451           3         303.7510
